Div;Mes;Probabilidad;LocalVisitante;JuegaEuropa;MundialOEurocopa;GanaFavorito
P1;1;1,099989;1;1;0;1
P1;5;1,099989;1;1;0;1
P1;8;1,149954002;1;1;0;1
P1;9;1,149954002;1;1;0;1
P1;10;1,149954002;1;1;0;1
P1;10;1,149954002;1;1;0;1
P1;12;1,149954002;1;1;0;1
P1;12;1,149954002;1;1;0;0
SP1;1;1,149954002;1;1;0;1
P1;2;1,149954002;1;1;0;1
P1;3;1,149954002;1;1;0;1
P1;3;1,149954002;1;1;0;1
P1;4;1,149954002;1;1;0;1
P1;4;1,149954002;1;1;0;1
I1;5;1,149954002;1;1;0;1
D1;5;1,149954002;1;1;0;1
P1;8;1,200048002;1;1;0;1
E0;9;1,200048002;1;1;0;1
P1;9;1,200048002;1;1;0;0
P1;9;1,200048002;1;1;0;1
P1;9;1,200048002;1;1;0;1
D1;9;1,200048002;1;1;0;0
SP1;10;1,200048002;1;1;0;1
I1;10;1,200048002;1;1;0;1
I1;10;1,200048002;1;1;0;1
E0;10;1,200048002;1;1;0;1
SP1;11;1,200048002;1;1;0;0
SP1;11;1,200048002;1;1;0;0
I1;11;1,200048002;1;1;0;1
P1;11;1,200048002;1;1;0;1
E0;11;1,200048002;1;1;0;0
SP1;11;1,200048002;1;1;0;1
I1;11;1,200048002;1;1;0;1
P1;11;1,200048002;1;1;0;1
SP1;11;1,200048002;1;1;0;1
I1;12;1,200048002;1;1;0;1
P1;1;1,200048002;1;1;0;1
I1;1;1,200048002;1;1;0;0
I1;1;1,200048002;1;1;0;0
P1;1;1,200048002;1;1;0;1
I1;1;1,200048002;1;1;0;1
E0;1;1,200048002;1;1;0;1
E0;2;1,200048002;1;1;0;1
I1;2;1,200048002;1;1;0;1
I1;2;1,200048002;1;1;0;1
P1;2;1,200048002;1;1;0;1
SP1;3;1,200048002;1;1;0;1
I1;3;1,200048002;1;1;0;1
I1;3;1,200048002;1;1;0;1
SP1;3;1,200048002;1;1;0;1
I1;4;1,200048002;1;1;0;0
I1;4;1,200048002;1;1;0;1
P1;4;1,200048002;1;1;0;1
P1;4;1,200048002;1;1;0;1
I1;4;1,200048002;1;1;0;1
F1;5;1,200048002;1;0;0;1
P1;5;1,200048002;1;1;0;1
SP1;5;1,200048002;1;1;0;0
E0;8;1,25;1;1;0;1
D1;9;1,25;1;1;0;1
D1;9;1,25;1;1;0;1
SP1;9;1,25;1;1;0;1
D1;9;1,25;1;1;0;1
SP1;9;1,25;1;1;0;1
I1;10;1,25;1;1;0;1
P1;10;1,25;1;1;0;1
P1;10;1,25;1;1;0;1
E0;11;1,25;1;1;0;1
E0;11;1,25;1;1;0;1
SP1;11;1,25;1;1;0;0
I1;11;1,25;1;1;0;1
SP1;12;1,25;1;1;0;1
I1;1;1,25;1;1;0;0
SP1;1;1,25;1;1;0;1
P1;1;1,25;1;1;0;1
P1;1;1,25;1;0;0;0
D1;1;1,25;1;1;0;1
P1;1;1,25;1;1;0;1
SP1;2;1,25;1;1;0;1
SP1;2;1,25;1;1;0;1
P1;2;1,25;1;1;0;1
SP1;2;1,25;1;1;0;1
I1;2;1,25;1;1;0;1
P1;2;1,25;1;0;0;0
P1;2;1,25;1;1;0;1
SP1;2;1,25;1;1;0;1
I1;2;1,25;1;1;0;1
P1;3;1,25;1;1;0;1
D1;3;1,25;1;1;0;1
SP1;3;1,25;1;1;0;1
SP1;3;1,25;1;1;0;1
P1;3;1,25;1;1;0;0
SP1;4;1,25;1;1;0;1
I1;4;1,25;1;1;0;0
SP1;4;1,25;1;1;0;0
I1;4;1,25;1;1;0;0
P1;5;1,25;1;1;0;1
